Ingredient Name,Vegetarian ,Healthy,East-Asian,Indian,Mexican/Spanish,American,Italian,No Cuisine
bok choy,,,,,,,,1
broccoli,,,,,,,,1
collard greens,,,,,,,,1
lettuce,,,,,,,,1
kale,,,,,,,,1
mesclun,,,,,,,,1
mustard greens,,,,,,,,1
romaine lettuce,,,,,,,,1
spinach,,,,,,,,1
turnip greens,,,,,,,,1
watercress,,,,,,,,1
cassava,,,,,,,,1
corn,,,,,,,,1
fresh cowpeas,,,,,,,,1
field peas,,,,,,,,1
black-eyed peas,,,,,,,,1
green bananas,,,,,,,,1
green peas,,,,,,,,1
green lima beans,,,,,,,,1
plantain,,,,,,,,1
plantains,,,,,,,,1
potato,,,,,,,,1
potatoes,,,,,,,,1
taro,,,,,,,,1
water chestnuts,,,,,,,,1
acorn squash,,,,,,,,1
butternut squash,,,,,,,,1
carrots,,,,,,,,1
hubbard squash,,,,,,,,1
pumpkin,,,,,,,,1
red peppers,,,,,,,,1
sweet potatoes,,,,,,,,1
tomatoes,,,,,,,,1
artichokes,,,,,,,,1
asparagus,,,,,,,,1
avocado,,,,,,,,1
bean sprouts,,,,,,,,1
beets,,,,,,,,1
Brussels sprouts,,,,,,,,1
cabbage,,,,,,,,1
cauliflower,,,,,,,,1
celery,,,,,,,,1
cucumbers,,,,,,,,1
eggplant,,,,,,,,1
green beans,,,,,,,,1
green peppers,,,,,,,,1
bell peppers,,,,,,,,1
iceberg lettuce,,,,,,,,1
mushrooms,,,,,,,,1
okra,,,,,,,,1
onions,,,,,,,,1
turnips,,,,,,,,1
wax beans,,,,,,,,1
zucchini,,,,,,,,1
green onion,,,,,,,,1
green onions,,,,,,,,1
yellow pepper,,,,,,,,1
